n_step,n_eval,f_best,f_avg,f_std,test_f1_best,test_top1_best
0,1,0.7333745709702768,0.0,0.0,0.7484281014863062,0.7477
50,5000,0.7478664476016946,0.518881323714558,0.243524058367566,0.7478887986485602,0.7473
100,10000,0.7514421020104018,0.7232370634600032,0.0270474832912498,0.7508251162477733,0.7501
150,15000,0.7558630877150054,0.725447554904178,0.0199313052805427,0.7470666290586436,0.7462
200,20000,0.7578277940306692,0.7426566703847179,0.0072434809526155,0.7477424944637682,0.7468
250,25000,0.7637005900146228,0.750702415325066,0.0058379207917921,0.7459661979762414,0.7454
300,30000,0.7672983471908159,0.7576172985319025,0.0035553069857407,0.7440629221861266,0.7432
350,35000,0.7710920179595423,0.7640027661808433,0.0028463603625668,0.7481301591882569,0.7474
400,40000,0.7751818382825651,0.7698936805032048,0.0023638826561264,0.746990758571051,0.7461
450,45000,0.7777303333472738,0.7748559309153084,0.0016727172433176,0.7456736744812622,0.7448
500,50000,0.7798510657829135,0.7772429849829262,0.0014769412715951,0.7473442335866076,0.7464
550,55000,0.7799801688435954,0.7783354897079927,0.0011746958947605,0.7471955962506796,0.7463
600,60000,0.7799801688435954,0.7762129819960267,0.0017016908804411,0.7471955962506796,0.7463
650,65000,0.7799801688435954,0.7772725625899561,0.0014271963083515,0.7471955962506796,0.7463
700,70000,0.7799801688435954,0.7712385725469862,0.0021778736539266,0.7471955962506796,0.7463
750,75000,0.780439232108932,0.7751097649492539,0.0021524205228695,0.7454044243215882,0.7447
800,80000,0.781216193474344,0.7749606071942162,0.0018632407013196,0.746202773601903,0.7455
850,85000,0.781216193474344,0.7614234757795983,0.0037574983582406,0.746202773601903,0.7455
900,90000,0.781216193474344,0.7645685337639805,0.0031480176300121,0.746202773601903,0.7455
950,95000,0.781216193474344,0.763715752345517,0.0033423497113016,0.746202773601903,0.7455
1000,100000,0.781216193474344,0.7679557615468697,0.0032967926481428,0.746202773601903,0.7455
1050,105000,0.781216193474344,0.7617558018298111,0.0040532832385304,0.746202773601903,0.7455
1100,110000,0.781216193474344,0.7553396298334099,0.00485760581695,0.746202773601903,0.7455
1150,115000,0.781216193474344,0.7175574795196158,0.0210784422805659,0.746202773601903,0.7455
1200,120000,0.781216193474344,0.702142126917914,0.0120618753918477,0.746202773601903,0.7455
1250,125000,0.781216193474344,0.7185147385851267,0.0103629094101255,0.746202773601903,0.7455
1300,130000,0.781216193474344,0.7281066194671191,0.0086885580177912,0.746202773601903,0.7455
1350,135000,0.781216193474344,0.7450690582132595,0.0056578808724736,0.746202773601903,0.7455
1400,140000,0.781216193474344,0.7180991202058439,0.0076628527362928,0.746202773601903,0.7455
1450,145000,0.781216193474344,0.7246511797551185,0.0102899575410933,0.746202773601903,0.7455
1500,150000,0.781216193474344,0.7410209778097766,0.0061938804342355,0.746202773601903,0.7455
1550,155000,0.781216193474344,0.7451649805494626,0.0058082019482495,0.746202773601903,0.7455
1600,160000,0.781216193474344,0.7480240411750892,0.0057528925281962,0.746202773601903,0.7455
1650,165000,0.781558610646469,0.7676918846269167,0.0046132709628744,0.7280545612371944,0.7287
1700,170000,0.7863010080151821,0.776485466479199,0.0033950324628086,0.7285786250245013,0.7287
1750,175000,0.7906725821358611,0.7776407190628573,0.0033813358577391,0.7274439911549118,0.7277
1800,180000,0.7906725821358611,0.7776225613542144,0.0035669520531127,0.7274439911549118,0.7277
1850,185000,0.7915689947880351,0.7802045787108278,0.0031019526447043,0.7232114687127613,0.7236
1900,190000,0.7975444768524725,0.7889784061925572,0.0024387696529307,0.724404920699124,0.7246
1950,195000,0.797666121194281,0.7921650789807204,0.0020328779835258,0.7287530567401558,0.7292
2000,200000,0.7984884663179858,0.7915641576373575,0.0021104136212972,0.7288642763592956,0.7293
2050,205000,0.7984884663179858,0.7757123273936195,0.0049071577979433,0.7288642763592956,0.7293
2100,210000,0.7984884663179858,0.7830361265358908,0.0033082342244188,0.7288642763592956,0.7293
2150,215000,0.7984884663179858,0.7803624672760935,0.0039854388975817,0.7288642763592956,0.7293
2200,220000,0.7984884663179858,0.7874402341154333,0.0024054794956094,0.7288642763592956,0.7293
2250,225000,0.7997529891422945,0.7947237246691303,0.0020131252305745,0.7264745259110548,0.7259
2300,230000,0.8043812054780892,0.7978118094725926,0.0020701878181305,0.7268553396220461,0.7261
2350,235000,0.8049803650956363,0.7984998407148183,0.0021638199817828,0.7247630052030557,0.7244
2400,240000,0.8049803650956363,0.7917793863438202,0.0027439649249323,0.7247630052030557,0.7244
2450,245000,0.8049803650956363,0.792232932525188,0.0023971875813102,0.7247630052030557,0.7244
2500,250000,0.8049803650956363,0.7978203021682903,0.0021362393491908,0.7247630052030557,0.7244
2550,255000,0.8049803650956363,0.8010829875346083,0.0015253805969204,0.7247630052030557,0.7244
2600,260000,0.8049803650956363,0.8027291388480502,0.0010539852974307,0.7247630052030557,0.7244
2650,265000,0.8049803650956363,0.0001980198019801,2.710505431213761e-20,0.7247630052030557,0.7244
2700,270000,0.8049803650956363,0.0001980198019801,2.710505431213761e-20,0.7247630052030557,0.7244
2750,275000,0.8049803650956363,0.0001980198019801,2.710505431213761e-20,0.7247630052030557,0.7244
2800,280000,0.8049803650956363,0.0001980198019801,2.710505431213761e-20,0.7247630052030557,0.7244
2850,285000,0.8049803650956363,0.00019801980198019806,2.710505431213761e-20,0.7247630052030557,0.7244
