n_step,n_eval,f_best,f_avg,f_std,test_f1_best,test_top1_best
0,1,0.7333745709702768,0.0,0.0,0.7484281014863062,0.7477
50,2500,0.7503534598172901,0.6883710293702024,0.2021597026567444,0.7533237982098062,0.7527
100,5000,0.7503818641614839,0.6899440392307891,0.2026158814072642,0.7528800263539266,0.7522
150,7500,0.7503818641614839,0.6899679647832582,0.2026230119004097,0.7528800263539266,0.7522
200,10000,0.7503818641614839,0.6899702526213529,0.2026236761090056,0.7528800263539266,0.7522
250,12500,0.7503818641614839,0.6899706738501322,0.2026235453545763,0.7528800263539266,0.7522
300,15000,0.7503818641614839,0.6899729839925228,0.2026245066167407,0.7528800263539266,0.7522
350,17500,0.7503818641614839,0.6899658014989721,0.2026223678616381,0.7528800263539266,0.7522
400,20000,0.7503818641614839,0.6899731085463316,0.2026245438089637,0.7528800263539266,0.7522
450,22500,0.7503818641614839,0.6899740229535619,0.2026247988299371,0.7528800263539266,0.7522
500,25000,0.7503818641614839,0.6899711670285832,0.2026239656303781,0.7528800263539266,0.7522
550,27500,0.7503818641614839,0.6899715133489295,0.202624068867869,0.7528800263539266,0.7522
600,30000,0.7503818641614839,0.6899761862378481,0.2026254430172698,0.7528800263539266,0.7522
650,32500,0.7503818641614839,0.6899684356574133,0.2026231350959328,0.7528800263539266,0.7522
700,35000,0.7503818641614839,0.6899736766332155,0.2026247130843158,0.7528800263539266,0.7522
750,37500,0.7503818641614839,0.6899768788785408,0.2026256489848201,0.7528800263539266,0.7522
800,40000,0.7503818641614839,0.6899677430167206,0.2026229460961951,0.7528800263539266,0.7522
850,42500,0.7503818641614839,0.6899709452620455,0.2026238995859137,0.7528800263539266,0.7522
900,45000,0.7503818641614839,0.6899756181509642,0.2026252907485969,0.7528800263539266,0.7522
950,47500,0.7503818641614839,0.6899674227166291,0.202622978941475,0.7528800263539266,0.7522
1000,50000,0.7503818641614839,0.6899765325581941,0.2026255632444398,0.7528800263539266,0.7522
1050,52500,0.7503818641614839,0.6899705989416992,0.2026237963473656,0.7528800263539266,0.7522
1100,55000,0.7503818641614839,0.6899683111036045,0.202623115387925,0.7528800263539266,0.7522
1150,57500,0.7503818641614839,0.6899715133489295,0.202624068867869,0.7528800263539266,0.7522
1200,60000,0.7503818641614839,0.6899784740759429,0.2026261238799704,0.7528800263539266,0.7522
1250,62500,0.7503818641614839,0.6899655797324346,0.2026223018107805,0.7528800263539266,0.7522
1300,65000,0.7503818641614839,0.6899736766332155,0.2026247130843158,0.7528800263539266,0.7522
1350,67500,0.7503818641614839,0.6899705989416992,0.2026237990175116,0.7528800263539266,0.7522
1400,70000,0.7503818641614839,0.6899711670285832,0.2026239486312336,0.7528800263539266,0.7522
1450,72500,0.7503818641614839,0.6899715133489295,0.202624068867869,0.7528800263539266,0.7522
1500,75000,0.7503818641614839,0.6899761862378481,0.2026254600162889,0.7528800263539266,0.7522
1550,77500,0.7503818641614839,0.6899690037442971,0.2026233213847614,0.7528800263539266,0.7522
1600,80000,0.7503818641614839,0.6899736766332155,0.2026247130843158,0.7528800263539266,0.7522
1650,82500,0.7503818641614839,0.6899711670285833,0.2026239656303781,0.7528800263539266,0.7522
1700,85000,0.7503818641614839,0.6899705989416993,0.2026237793482069,0.7528800263539266,0.7522
1750,87500,0.7503818641614839,0.6899738011870242,0.20262473278887,0.7528800263539266,0.7522
1800,90000,0.7503818641614839,0.6899756181509642,0.2026252907485969,0.7528800263539266,0.7522
1850,92500,0.7503818641614839,0.6899718596692758,0.2026241546174604,0.7528800263539266,0.7522
1900,95000,0.7503818641614839,0.6899736766332155,0.2026247130843158,0.7528800263539266,0.7522
1950,97500,0.7503818641614839,0.6899740229535619,0.2026248158290102,0.7528800263539266,0.7522
2000,100000,0.7503818641614839,0.6899711670285832,0.2026239656303781,0.7528800263539266,0.7522
2050,102500,0.7503818641614839,0.6899744441823411,0.2026246510693087,0.7528800263539266,0.7522
2100,105000,0.7503818641614839,0.6899733303128692,0.2026246098508505,0.7528800263539266,0.7522
2150,107500,0.7503818641614839,0.6899661478193185,0.2026224711091138,0.7528800263539266,0.7522
2200,110000,0.7503818641614839,0.6899736766332155,0.2026247130843158,0.7528800263539266,0.7522
2250,112500,0.7503818641614839,0.6899734548666779,0.202624646554715,0.7528800263539266,0.7522
2300,115000,0.7503818641614839,0.6899705989416993,0.2026237963473656,0.7528800263539266,0.7522
2350,117500,0.7503818641614839,0.6899743692739082,0.2026249020621222,0.7528800263539266,0.7522
2400,120000,0.7503818641614839,0.6899733303128692,0.2026246098508505,0.7528800263539266,0.7522
2450,122500,0.7503818641614839,0.6899661478193185,0.2026224711091138,0.7528800263539266,0.7522
2500,125000,0.7503818641614839,0.6899760393797433,0.2026251429850111,0.7528800263539266,0.7522
2550,127500,0.7503818641614839,0.6899743692739082,0.2026249018180592,0.7528800263539266,0.7522
2600,130000,0.7503818641614839,0.6899675212501832,0.2026228798035854,0.7528800263539266,0.7522
2650,132500,0.7503818641614839,0.6899738011870242,0.2026247497879487,0.7528800263539266,0.7522
2700,135000,0.7503818641614839,0.6899765325581942,0.2026255460013671,0.7528800263539266,0.7522
2750,137500,0.7503818641614839,0.6899712915823919,0.2026239853365477,0.7528800263539266,0.7522
2800,140000,0.7503818641614839,0.6899768788785405,0.2026256492288822,0.7528800263539266,0.7522
2850,142500,0.7503818641614839,0.6899734548666779,0.202624646554715,0.7528800263539266,0.7522
2900,145000,0.7503818641614839,0.6899686574239509,0.2026232183866654,0.7528800263539266,0.7522
2950,147500,0.7503818641614839,0.6899773001073198,0.2026255012188746,0.7528800263539266,0.7522
3000,150000,0.7503818641614839,0.6899736766332157,0.2026247128402525,0.7528800263539266,0.7522
3050,152500,0.7503818641614839,0.6899712915823919,0.2026239853365477,0.7528800263539266,0.7522
3100,155000,0.7503818641614839,0.6899740229535618,0.2026248160730734,0.7528800263539266,0.7522
3150,157500,0.7503818641614839,0.6899740229535619,0.2026248158290102,0.7528800263539266,0.7522
3200,160000,0.7503818641614839,0.6899686574239509,0.2026232183866654,0.7528800263539266,0.7522
3250,162500,0.7503818641614839,0.6899743692739081,0.2026249190611867,0.7528800263539266,0.7522
3300,165000,0.7503818641614839,0.6899736766332157,0.2026247128402525,0.7528800263539266,0.7522
3350,167500,0.7503818641614839,0.6899690037442971,0.2026233213847614,0.7528800263539266,0.7522
3400,170000,0.7503818641614839,0.6899769537869734,0.2026253982360665,0.7528800263539266,0.7522
3450,172500,0.7503818641614839,0.6899768788785408,0.2026256489848201,0.7528800263539266,0.7522
3500,175000,0.7503818641614839,0.6899715133489296,0.2026240516246691,0.7528800263539266,0.7522
3550,177500,0.7503818641614839,0.6899743692739081,0.2026249190611867,0.7528800263539266,0.7522
3600,180000,0.7503818641614839,0.6899731085463319,0.2026245435649003,0.7528800263539266,0.7522
3650,182500,0.7503818641614839,0.6899690037442971,0.2026233213847614,0.7528800263539266,0.7522
3700,185000,0.7503818641614839,0.6899734548666779,0.2026246467987784,0.7528800263539266,0.7522
3750,187500,0.7503818641614839,0.6899734548666779,0.202624646554715,0.7528800263539266,0.7522
3800,190000,0.7503818641614839,0.6899709452620456,0.2026238823426995,0.7528800263539266,0.7522
3850,192500,0.7503818641614839,0.6899738011870242,0.2026247497879487,0.7528800263539266,0.7522
3900,195000,0.7503818641614839,0.6899731085463319,0.2026245435649003,0.7528800263539266,0.7522
3950,197500,0.7503818641614839,0.6899684356574132,0.2026231520951456,0.7528800263539266,0.7522
4000,200000,0.7503818641614839,0.6899740229535618,0.2026248160730734,0.7528800263539266,0.7522
4050,202500,0.7503818641614839,0.6899740229535619,0.2026248158290102,0.7528800263539266,0.7522
4100,205000,0.7503818641614839,0.6899709452620456,0.2026238823426995,0.7528800263539266,0.7522
4150,207500,0.7503818641614839,0.6899738011870242,0.2026247497879487,0.7528800263539266,0.7522
4200,210000,0.7503818641614839,0.6899731085463319,0.2026245435649003,0.7528800263539266,0.7522
4250,212500,0.7503818641614839,0.6899690037442971,0.2026233213847614,0.7528800263539266,0.7522
4300,215000,0.7503818641614839,0.6899740229535618,0.2026248160730734,0.7528800263539266,0.7522
4350,217500,0.7503818641614839,0.6899734548666779,0.202624646554715,0.7528800263539266,0.7522
4400,220000,0.7503818641614839,0.6899686574239509,0.2026232183866654,0.7528800263539266,0.7522
4450,222500,0.7503818641614839,0.6899743692739081,0.2026249190611867,0.7528800263539266,0.7522
4500,225000,0.7503818641614839,0.6899736766332157,0.2026247128402525,0.7528800263539266,0.7522
4550,227500,0.7503818641614839,0.6899684356574132,0.2026231520951456,0.7528800263539266,0.7522
4600,230000,0.7503818641614839,0.6899768788785405,0.2026256492288822,0.7528800263539266,0.7522
4650,232500,0.7503818641614839,0.6899763107916567,0.2026254797192279,0.7528800263539266,0.7522
4700,235000,0.7503818641614839,0.689968089337067,0.2026230490959925,0.7528800263539266,0.7522
4750,237500,0.7503818641614839,0.6899743692739081,0.2026249190611867,0.7528800263539266,0.7522
4800,240000,0.7503818641614839,0.6899759644713105,0.2026253767347179,0.7528800263539266,0.7522
4850,242500,0.7503818641614839,0.6899718596692758,0.2026241546174604,0.7528800263539266,0.7522
4900,245000,0.7503818641614839,0.6899740229535618,0.2026248160730734,0.7528800263539266,0.7522
4950,247500,0.7503818641614839,0.6899734548666779,0.202624646554715,0.7528800263539266,0.7522
5000,250000,0.7503818641614839,0.6899686574239509,0.2026232183866654,0.7528800263539266,0.7522
5050,252500,0.7503818641614839,0.6899743692739081,0.2026249190611867,0.7528800263539266,0.7522
5100,255000,0.7503818641614839,0.6899715275186638,0.2026242011557082,0.7528800263539266,0.7522
5150,257500,0.7503818641614839,0.6899690037442971,0.2026233213847614,0.7528800263539266,0.7522
5200,260000,0.7503818641614839,0.6899740978619948,0.2026245650802814,0.7528800263539266,0.7522
5250,262500,0.7503818641614839,0.6899740229535619,0.2026248158290102,0.7528800263539266,0.7522
5300,265000,0.7503818641614839,0.6899686574239509,0.2026232183866654,0.7528800263539266,0.7522
5350,267500,0.7503818641614839,0.6899743692739081,0.2026249190611867,0.7528800263539266,0.7522
5400,270000,0.7503818641614839,0.6899731085463316,0.2026245435649003,0.7528800263539266,0.7522
5450,272500,0.7503818641614839,0.6899718596692758,0.2026241546174604,0.7528800263539266,0.7522
5500,275000,0.7503818641614839,0.6899740229535618,0.2026248160730734,0.7528800263539266,0.7522
5550,277500,0.7503818641614839,0.6899740229535619,0.2026248158290102,0.7528800263539266,0.7522
5600,280000,0.7503818641614839,0.689968089337067,0.2026230490959925,0.7528800263539266,0.7522
5650,282500,0.7503818641614839,0.6899738760954572,0.20262449879515662,0.7528800263539266,0.7522
